card,date,t_2,t_4,t_6,t_7.313,t_8,t_10
MSD-0558,2022-06-02,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0
MSD-0558,2022-06-03,0.001736111111111111,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0558,2022-06-04,0.0020833333333333333,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0558,2022-06-05,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-06-06,0.0010416666666666667,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-06-07,0.005555555555555556,0.0024305555555555556,0.0010416666666666667,0.0006944444444444445,0.0,0.0
MSD-0558,2022-06-08,0.001736111111111111,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-06-09,0.009375,0.005902777777777778,0.004166666666666667,0.002777777777777778,0.0020833333333333333,0.00034722222222222224
MSD-0558,2022-06-10,0.01840277777777778,0.007638888888888889,0.001388888888888889,0.0006944444444444445,0.00034722222222222224,0.0
MSD-0558,2022-06-11,0.050347222222222224,0.029166666666666667,0.015277777777777777,0.008680555555555556,0.006944444444444444,0.003125
MSD-0558,2022-06-12,0.010416666666666666,0.00625,0.004166666666666667,0.003125,0.002777777777777778,0.0
MSD-0558,2022-06-13,0.060069444444444446,0.040625,0.022222222222222223,0.013888888888888888,0.009722222222222222,0.003472222222222222
MSD-0558,2022-06-14,0.2,0.1361111111111111,0.08611111111111111,0.06076388888888889,0.04513888888888889,0.017013888888888887
MSD-0558,2022-06-15,0.42465277777777777,0.3548611111111111,0.27569444444444446,0.21388888888888888,0.17881944444444445,0.09166666666666666
MSD-0558,2022-06-16,0.33205974296630775,0.29697811740187563,0.2438346648141716,0.19590135463702674,0.17332407085793677,0.1031608197290726
MSD-0558,2022-06-17,0.12916666666666668,0.10069444444444445,0.06736111111111111,0.04513888888888889,0.034722222222222224,0.019097222222222224
MSD-0558,2022-06-18,0.36319444444444443,0.29930555555555555,0.234375,0.184375,0.15520833333333334,0.07152777777777777
MSD-0558,2022-06-19,0.33611111111111114,0.2635416666666667,0.19131944444444443,0.1423611111111111,0.11458333333333333,0.050347222222222224
MSD-0558,2022-06-20,0.26979166666666665,0.215625,0.1673611111111111,0.12569444444444444,0.10277777777777777,0.04513888888888889
MSD-0558,2022-06-21,0.21041666666666667,0.15347222222222223,0.09618055555555556,0.06701388888888889,0.05381944444444445,0.021180555555555557
MSD-0558,2022-06-22,0.3263888888888889,0.23958333333333334,0.1579861111111111,0.11493055555555555,0.09340277777777778,0.040625
MSD-0558,2022-06-23,0.35776311219173323,0.2872525182354984,0.225425494963529,0.1712400138937131,0.14379993053143453,0.06842653699201111
MSD-0558,2022-06-24,0.2704861111111111,0.20590277777777777,0.13229166666666667,0.09097222222222222,0.07361111111111111,0.029166666666666667
MSD-0558,2022-06-25,0.17569444444444443,0.12118055555555556,0.07604166666666666,0.05,0.04131944444444444,0.0125
MSD-0558,2022-06-26,0.1371527777777778,0.09652777777777778,0.057291666666666664,0.03611111111111111,0.02847222222222222,0.008333333333333333
MSD-0558,2022-06-27,0.09861111111111111,0.06319444444444444,0.03298611111111111,0.021875,0.016319444444444445,0.005208333333333333
MSD-0558,2022-06-28,0.05381944444444445,0.036458333333333336,0.021875,0.016666666666666666,0.012152777777777778,0.005208333333333333
MSD-0558,2022-06-29,0.04027777777777778,0.027430555555555555,0.01597222222222222,0.009027777777777777,0.005555555555555556,0.003125
MSD-0558,2022-06-30,0.009027777777777777,0.003472222222222222,0.0020833333333333333,0.001736111111111111,0.001388888888888889,0.0010416666666666667
MSD-0558,2022-07-01,0.0024305555555555556,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-0558,2022-07-02,0.001736111111111111,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-07-03,0.0020833333333333333,0.0010416666666666667,0.0006944444444444445,0.00034722222222222224,0.00034722222222222224,0.0
MSD-0558,2022-07-04,0.00034722222222222224,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-07-05,0.0010416666666666667,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-07-06,0.001388888888888889,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0558,2022-07-07,0.0020833333333333333,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-0558,2022-07-08,0.001736111111111111,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-0558,2022-07-09,0.001388888888888889,0.00034722222222222224,0.00034722222222222224,0.0,0.0,0.0
MSD-0558,2022-07-10,0.0010416666666666667,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0558,2022-07-11,0.004166666666666667,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-0558,2022-07-12,0.0024305555555555556,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-07-13,0.004166666666666667,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-0558,2022-07-14,0.002777777777777778,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-07-15,0.00625,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0558,2022-07-16,0.0024305555555555556,0.00034722222222222224,0.00034722222222222224,0.0,0.0,0.0
MSD-0558,2022-07-17,0.004166666666666667,0.0006944444444444445,0.0,0.0,0.0,0.0
MSD-0558,2022-07-18,0.0024305555555555556,0.00034722222222222224,0.0,0.0,0.0,0.0
MSD-0558,2022-07-19,0.0038194444444444443,0.0,0.0,0.0,0.0,0.0
MSD-0558,2022-07-20,0.0038194444444444443,0.0,0.0,0.0,0.0,0.0
